trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,imagefile,corrAns,angle,participant,session,date,expName,psychopyVersion,frameRate
d,0,5.694000006,1,0,100,81,1,99,i37_150.jpg,s,150,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,0,3.049000025,1,0,100,1,1,99,i1_50_R.jpg,d,50,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
d,0,5.815999985,1,0,100,4,1,99,i2_100.jpg,s,100,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
d,1,4.131999969,1,0,100,14,1,99,i7_50_R.jpg,d,50,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,1,3.969000101,1,0,100,0,1,99,i1_0.jpg,s,0,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
d,1,7.526000023,1,0,100,10,1,99,i5_50_R.jpg,d,50,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
d,1,6.602999926,1,0,100,7,1,99,i4_50_R.jpg,d,50,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
d,0,2.09100008,1,0,100,90,1,99,i41_150.jpg,s,150,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,0,8.235000134,1,0,100,50,1,99,i23_150_R.jpg,d,150,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,1,7.609999895,1,0,100,65,1,99,i30_50.jpg,s,50,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,1,14.84899998,1,0,100,26,1,99,i12_100.jpg,s,100,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,1,13.31099987,1,0,100,66,1,99,i30_150.jpg,s,150,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
d,1,6.434000015,1,0,100,69,1,99,i32_100_R.jpg,d,100,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,1,5.747999907,1,0,100,18,1,99,i9_0.jpg,s,0,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,1,4.742000103,1,0,100,94,1,99,i44_0.jpg,s,0,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
d,1,7.292999983,1,0,100,80,1,99,i37_100_R.jpg,d,100,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,1,6.878999949,1,0,100,29,1,99,i14_0.jpg,s,0,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,1,7.663999796,1,0,100,51,1,99,i24_50.jpg,s,50,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,1,9.434000015,1,0,100,60,1,99,i28_50.jpg,s,50,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,1,10.23099995,1,0,100,53,1,99,i25_0.jpg,s,0,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,1,11.25900006,1,0,100,47,1,99,i22_50.jpg,s,50,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,1,6.465000153,1,0,100,74,1,99,i34_150.jpg,s,150,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,1,7.093999863,1,0,100,41,1,99,i19_50.jpg,s,50,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,1,6.930999994,1,0,100,84,1,99,i39_0.jpg,s,0,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
d,1,4.900000095,1,0,100,30,1,99,i14_50_R.jpg,d,50,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,1,3.444999933,1,0,100,17,1,99,i8_100.jpg,s,100,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
d,1,2.853000164,1,0,100,12,1,99,i6_50_R.jpg,d,50,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,1,5.621999979,1,0,100,22,1,99,i10_100.jpg,s,100,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,1,7.490999937,1,0,100,9,1,99,i5_0.jpg,s,0,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
d,1,3.217000008,1,0,100,3,1,99,i2_50_R.jpg,d,50,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,0,6.280999899,1,0,100,96,1,99,i45_100_R.jpg,d,100,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,1,11.27999997,1,0,100,61,1,99,i28_150.jpg,s,150,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,1,2.378000021,1,0,100,75,1,99,i35_0.jpg,s,0,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
d,1,4.487999916,1,0,100,33,1,99,i15_150_R.jpg,d,150,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,1,5.927000046,1,0,100,2,1,99,i1_100.jpg,s,100,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,1,4.578999996,1,0,100,15,1,99,i7_100.jpg,s,100,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
d,1,6.309000015,1,0,100,52,1,99,i24_150_R.jpg,d,150,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,1,17.88999987,1,0,100,64,1,99,i29_150.jpg,s,150,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,1,6.667000055,1,0,100,13,1,99,i6_100.jpg,s,100,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,1,5.257999897,1,0,100,77,1,99,i35_150.jpg,s,150,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
d,1,11.44300008,1,0,100,93,1,99,i43_100_R.jpg,d,100,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
d,1,13.41899991,1,0,100,5,1,99,i3_50_R.jpg,d,50,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
d,1,6.997999907,1,0,100,48,1,99,i22_150_R.jpg,d,150,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,1,10.8499999,1,0,100,20,1,99,i9_100.jpg,s,100,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,0,9.628000021,1,0,100,35,1,99,i16_150_R.jpg,d,150,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,1,5.740999937,1,0,100,58,1,99,i27_50.jpg,s,50,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
d,1,2.159000158,1,0,100,19,1,99,i9_50_R.jpg,d,50,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,0,4.164999962,1,0,100,71,1,99,i33_100_R.jpg,d,100,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
d,1,2.932999849,1,0,100,32,1,99,i15_50_R.jpg,d,50,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,1,6.550000191,1,0,100,36,1,99,i17_50.jpg,s,50,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,1,12.30699992,1,0,100,88,1,99,i40_150.jpg,s,150,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,1,13.14100003,1,0,100,24,1,99,i11_100.jpg,s,100,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
d,1,4.270999908,1,0,100,89,1,99,i41_100_R.jpg,d,100,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,1,7.388000011,1,0,100,63,1,99,i29_50.jpg,s,50,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
d,1,5.049999952,1,0,100,25,1,99,i12_50_R.jpg,d,50,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
d,1,6.378999949,1,0,100,95,1,99,i44_100_R.jpg,d,100,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
d,1,12.33099985,1,0,100,85,1,99,i39_100_R.jpg,d,100,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
d,1,8.032000065,1,0,100,42,1,99,i19_150_R.jpg,d,150,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,1,6.767000198,1,0,100,62,1,99,i29_0.jpg,s,0,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,0,10.54900002,1,0,100,57,1,99,i26_150_R.jpg,d,150,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,0,12.79099989,1,0,100,37,1,99,i17_150_R.jpg,d,150,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,1,4.950000048,1,0,100,11,1,99,i5_100.jpg,s,100,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,1,13.82400012,1,0,100,68,1,99,i31_150.jpg,s,150,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,1,9.016000032,1,0,100,38,1,99,i18_50.jpg,s,50,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
d,1,11.04900002,1,0,100,44,1,99,i20_150_R.jpg,d,150,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,1,6.865999937,1,0,100,34,1,99,i16_50.jpg,s,50,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
d,1,5.615999937,1,0,100,59,1,99,i27_150_R.jpg,d,150,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
d,1,4.619999886,1,0,100,46,1,99,i21_150_R.jpg,d,150,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,1,22.51399994,1,0,100,83,1,99,i38_150.jpg,s,150,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,1,11.53499985,1,0,100,8,1,99,i4_100.jpg,s,100,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
d,1,3.182999849,1,0,100,31,1,99,i14_150_R.jpg,d,150,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
d,1,8.329999924,1,0,100,39,1,99,i18_150_R.jpg,d,150,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,1,6.055999994,1,0,100,45,1,99,i21_50.jpg,s,50,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,1,7.312000036,1,0,100,99,1,99,i48_100.jpg,s,100,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,0,8.691999912,1,0,100,27,1,99,i13_50_R.jpg,d,50,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,0,7.700000048,1,0,100,73,1,99,i34_100_R.jpg,d,100,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
d,1,12.37000012,1,0,100,23,1,99,i11_50_R.jpg,d,50,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,1,4.388000011,1,0,100,97,1,99,i46_100.jpg,s,100,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
d,1,6.363000154,1,0,100,67,1,99,i31_100_R.jpg,d,100,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
d,1,8.622999907,1,0,100,21,1,99,i10_50_R.jpg,d,50,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,0,6.448999882,1,0,100,87,1,99,i40_100_R.jpg,d,100,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,1,7.684999943,1,0,100,72,1,99,i33_150.jpg,s,150,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,1,10.79999995,1,0,100,70,1,99,i32_150.jpg,s,150,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
d,0,7.677999973,1,0,100,54,1,99,i25_50.jpg,s,50,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,1,7.229000092,1,0,100,86,1,99,i39_150.jpg,s,150,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
s,1,9.654999971,1,0,100,92,1,99,i42_150.jpg,s,150,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
d,1,13.90600014,1,0,100,55,1,99,i25_150_R.jpg,d,150,2883,001,2020-10-12_21h25.16.780,MentalRotationFinal,3.1.2,60
