trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,imagefile,corrAns,angle,participant,session,date,expName,psychopyVersion,frameRate
d,0,5.650999784,1,0,100,68,1,99,i31_150.jpg,s,150,2561,001,2020-10-12_12h32.44.366,MentalRotationFinal,3.1.2,60
s,1,5.476000071,1,0,100,54,1,99,i25_50.jpg,s,50,2561,001,2020-10-12_12h32.44.366,MentalRotationFinal,3.1.2,60
s,0,6.339999914,1,0,100,48,1,99,i22_150_R.jpg,d,150,2561,001,2020-10-12_12h32.44.366,MentalRotationFinal,3.1.2,60
s,1,6.843000174,1,0,100,13,1,99,i6_100.jpg,s,100,2561,001,2020-10-12_12h32.44.366,MentalRotationFinal,3.1.2,60
s,1,6.996000051,1,0,100,34,1,99,i16_50.jpg,s,50,2561,001,2020-10-12_12h32.44.366,MentalRotationFinal,3.1.2,60
s,1,3.888999939,1,0,100,62,1,99,i29_0.jpg,s,0,2561,001,2020-10-12_12h32.44.366,MentalRotationFinal,3.1.2,60
d,1,3.39199996,1,0,100,32,1,99,i15_50_R.jpg,d,50,2561,001,2020-10-12_12h32.44.366,MentalRotationFinal,3.1.2,60
s,1,6.627000093,1,0,100,88,1,99,i40_150.jpg,s,150,2561,001,2020-10-12_12h32.44.366,MentalRotationFinal,3.1.2,60
s,1,4.34499979,1,0,100,36,1,99,i17_50.jpg,s,50,2561,001,2020-10-12_12h32.44.366,MentalRotationFinal,3.1.2,60
s,1,3.457999945,1,0,100,72,1,99,i33_150.jpg,s,150,2561,001,2020-10-12_12h32.44.366,MentalRotationFinal,3.1.2,60
d,1,2.976999998,1,0,100,12,1,99,i6_50_R.jpg,d,50,2561,001,2020-10-12_12h32.44.366,MentalRotationFinal,3.1.2,60
d,1,3.789999962,1,0,100,57,1,99,i26_150_R.jpg,d,150,2561,001,2020-10-12_12h32.44.366,MentalRotationFinal,3.1.2,60
s,1,3.058000088,1,0,100,92,1,99,i42_150.jpg,s,150,2561,001,2020-10-12_12h32.44.366,MentalRotationFinal,3.1.2,60
d,1,6.090999842,1,0,100,89,1,99,i41_100_R.jpg,d,100,2561,001,2020-10-12_12h32.44.366,MentalRotationFinal,3.1.2,60
s,1,3.309000015,1,0,100,17,1,99,i8_100.jpg,s,100,2561,001,2020-10-12_12h32.44.366,MentalRotationFinal,3.1.2,60
d,1,5.40899992,1,0,100,35,1,99,i16_150_R.jpg,d,150,2561,001,2020-10-12_12h32.44.366,MentalRotationFinal,3.1.2,60
s,1,3.523999929,1,0,100,45,1,99,i21_50.jpg,s,50,2561,001,2020-10-12_12h32.44.366,MentalRotationFinal,3.1.2,60
s,1,3.458999872,1,0,100,47,1,99,i22_50.jpg,s,50,2561,001,2020-10-12_12h32.44.366,MentalRotationFinal,3.1.2,60
s,1,4.858999968,1,0,100,79,1,99,i36_150.jpg,s,150,2561,001,2020-10-12_12h32.44.366,MentalRotationFinal,3.1.2,60
