trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,imagefile,corrAns,angle,participant,session,date,expName,psychopyVersion,frameRate
d,1,6.072999954,1,0,100,82,1,99,i38_100_R.jpg,d,100,2012,001,2020-10-12_13h35.41.756,MentalRotationFinal,3.1.2,60
s,1,15.89699984,1,0,100,88,1,99,i40_150.jpg,s,150,2012,001,2020-10-12_13h35.41.756,MentalRotationFinal,3.1.2,60
s,1,74.31699991,1,0,100,11,1,99,i5_100.jpg,s,100,2012,001,2020-10-12_13h35.41.756,MentalRotationFinal,3.1.2,60
d,1,5.512000084,1,0,100,1,1,99,i1_50_R.jpg,d,50,2012,001,2020-10-12_13h35.41.756,MentalRotationFinal,3.1.2,60
s,1,49.1789999,1,0,100,65,1,99,i30_50.jpg,s,50,2012,001,2020-10-12_13h35.41.756,MentalRotationFinal,3.1.2,60
s,1,4.417000055,1,0,100,40,1,99,i19_0.jpg,s,0,2012,001,2020-10-12_13h35.41.756,MentalRotationFinal,3.1.2,60
d,1,7.678999901,1,0,100,71,1,99,i33_100_R.jpg,d,100,2012,001,2020-10-12_13h35.41.756,MentalRotationFinal,3.1.2,60
s,1,8.997999907,1,0,100,77,1,99,i35_150.jpg,s,150,2012,001,2020-10-12_13h35.41.756,MentalRotationFinal,3.1.2,60
d,1,6.834000111,1,0,100,10,1,99,i5_50_R.jpg,d,50,2012,001,2020-10-12_13h35.41.756,MentalRotationFinal,3.1.2,60
s,0,3.760999918,1,0,100,21,1,99,i10_50_R.jpg,d,50,2012,001,2020-10-12_13h35.41.756,MentalRotationFinal,3.1.2,60
s,1,4.676999807,1,0,100,8,1,99,i4_100.jpg,s,100,2012,001,2020-10-12_13h35.41.756,MentalRotationFinal,3.1.2,60
d,1,8.700999975,1,0,100,95,1,99,i44_100_R.jpg,d,100,2012,001,2020-10-12_13h35.41.756,MentalRotationFinal,3.1.2,60
d,1,2.228000164,1,0,100,27,1,99,i13_50_R.jpg,d,50,2012,001,2020-10-12_13h35.41.756,MentalRotationFinal,3.1.2,60
s,1,4.427000046,1,0,100,43,1,99,i20_50.jpg,s,50,2012,001,2020-10-12_13h35.41.756,MentalRotationFinal,3.1.2,60
d,1,4.644999981,1,0,100,87,1,99,i40_100_R.jpg,d,100,2012,001,2020-10-12_13h35.41.756,MentalRotationFinal,3.1.2,60
d,1,5.295000076,1,0,100,7,1,99,i4_50_R.jpg,d,50,2012,001,2020-10-12_13h35.41.756,MentalRotationFinal,3.1.2,60
d,1,123.7779999,1,0,100,93,1,99,i43_100_R.jpg,d,100,2012,001,2020-10-12_13h35.41.756,MentalRotationFinal,3.1.2,60
s,1,1.431999922,1,0,100,94,1,99,i44_0.jpg,s,0,2012,001,2020-10-12_13h35.41.756,MentalRotationFinal,3.1.2,60
s,1,2.332999945,1,0,100,53,1,99,i25_0.jpg,s,0,2012,001,2020-10-12_13h35.41.756,MentalRotationFinal,3.1.2,60
s,1,10.64700007,1,0,100,60,1,99,i28_50.jpg,s,50,2012,001,2020-10-12_13h35.41.756,MentalRotationFinal,3.1.2,60
d,1,3.67599988,1,0,100,23,1,99,i11_50_R.jpg,d,50,2012,001,2020-10-12_13h35.41.756,MentalRotationFinal,3.1.2,60
s,1,2.311000109,1,0,100,36,1,99,i17_50.jpg,s,50,2012,001,2020-10-12_13h35.41.756,MentalRotationFinal,3.1.2,60
d,0,2.465000153,1,0,100,54,1,99,i25_50.jpg,s,50,2012,001,2020-10-12_13h35.41.756,MentalRotationFinal,3.1.2,60
