trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,imagefile,corrAns,angle,participant,session,date,expName,psychopyVersion,frameRate
s,1,5.319999933,1,0,100,83,1,99,i38_150.jpg,s,150,3672,001,2020-10-16_16h35.18.680,MentalRotationFinal,3.1.2,60
d,1,5.730000019,1,0,100,95,1,99,i44_100_R.jpg,d,100,3672,001,2020-10-16_16h35.18.680,MentalRotationFinal,3.1.2,60
s,0,5.063999891,1,0,100,42,1,99,i19_150_R.jpg,d,150,3672,001,2020-10-16_16h35.18.680,MentalRotationFinal,3.1.2,60
d,1,8.798000097,1,0,100,87,1,99,i40_100_R.jpg,d,100,3672,001,2020-10-16_16h35.18.680,MentalRotationFinal,3.1.2,60
d,0,5.446000099,1,0,100,6,1,99,i3_100.jpg,s,100,3672,001,2020-10-16_16h35.18.680,MentalRotationFinal,3.1.2,60
s,1,2.974999905,1,0,100,63,1,99,i29_50.jpg,s,50,3672,001,2020-10-16_16h35.18.680,MentalRotationFinal,3.1.2,60
d,0,13.98300004,1,0,100,13,1,99,i6_100.jpg,s,100,3672,001,2020-10-16_16h35.18.680,MentalRotationFinal,3.1.2,60
s,1,4.73300004,1,0,100,92,1,99,i42_150.jpg,s,150,3672,001,2020-10-16_16h35.18.680,MentalRotationFinal,3.1.2,60
s,1,15.53699994,1,0,100,51,1,99,i24_50.jpg,s,50,3672,001,2020-10-16_16h35.18.680,MentalRotationFinal,3.1.2,60
d,1,5.603000164,1,0,100,73,1,99,i34_100_R.jpg,d,100,3672,001,2020-10-16_16h35.18.680,MentalRotationFinal,3.1.2,60
s,1,3.618000031,1,0,100,81,1,99,i37_150.jpg,s,150,3672,001,2020-10-16_16h35.18.680,MentalRotationFinal,3.1.2,60
d,1,8.402999878,1,0,100,91,1,99,i42_100_R.jpg,d,100,3672,001,2020-10-16_16h35.18.680,MentalRotationFinal,3.1.2,60
s,1,3.26699996,1,0,100,74,1,99,i34_150.jpg,s,150,3672,001,2020-10-16_16h35.18.680,MentalRotationFinal,3.1.2,60
