trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,imagefile,corrAns,angle,participant,session,date,expName,psychopyVersion,frameRate
s,1,7.002999783,1,0,100,63,1,99,i29_50.jpg,s,50,pp,001,2020-10-11_11h46.30.902,MentalRotationFinal,3.1.2,60
s,1,3.950000048,1,0,100,45,1,99,i21_50.jpg,s,50,pp,001,2020-10-11_11h46.30.902,MentalRotationFinal,3.1.2,60
s,1,4.36500001,1,0,100,4,1,99,i2_100.jpg,s,100,pp,001,2020-10-11_11h46.30.902,MentalRotationFinal,3.1.2,60
s,1,5.461999893,1,0,100,72,1,99,i33_150.jpg,s,150,pp,001,2020-10-11_11h46.30.902,MentalRotationFinal,3.1.2,60
d,0,5.189999819,1,0,100,86,1,99,i39_150.jpg,s,150,pp,001,2020-10-11_11h46.30.902,MentalRotationFinal,3.1.2,60
d,0,0.108999968,1,0,100,75,1,99,i35_0.jpg,s,0,pp,001,2020-10-11_11h46.30.902,MentalRotationFinal,3.1.2,60
d,1,6.684999943,1,0,100,32,1,99,i15_50_R.jpg,d,50,pp,001,2020-10-11_11h46.30.902,MentalRotationFinal,3.1.2,60
s,1,3.422999859,1,0,100,79,1,99,i36_150.jpg,s,150,pp,001,2020-10-11_11h46.30.902,MentalRotationFinal,3.1.2,60
d,1,2.854999781,1,0,100,87,1,99,i40_100_R.jpg,d,100,pp,001,2020-10-11_11h46.30.902,MentalRotationFinal,3.1.2,60
d,1,5.028000116,1,0,100,93,1,99,i43_100_R.jpg,d,100,pp,001,2020-10-11_11h46.30.902,MentalRotationFinal,3.1.2,60
s,1,1.679000139,1,0,100,56,1,99,i26_50.jpg,s,50,pp,001,2020-10-11_11h46.30.902,MentalRotationFinal,3.1.2,60
s,1,4.463000059,1,0,100,98,1,99,i47_100.jpg,s,100,pp,001,2020-10-11_11h46.30.902,MentalRotationFinal,3.1.2,60
d,1,3.404999971,1,0,100,42,1,99,i19_150_R.jpg,d,150,pp,001,2020-10-11_11h46.30.902,MentalRotationFinal,3.1.2,60
s,1,2.421999931,1,0,100,36,1,99,i17_50.jpg,s,50,pp,001,2020-10-11_11h46.30.902,MentalRotationFinal,3.1.2,60
d,1,1.49000001,1,0,100,1,1,99,i1_50_R.jpg,d,50,pp,001,2020-10-11_11h46.30.902,MentalRotationFinal,3.1.2,60
d,1,1.378999949,1,0,100,27,1,99,i13_50_R.jpg,d,50,pp,001,2020-10-11_11h46.30.902,MentalRotationFinal,3.1.2,60
d,1,3.549999952,1,0,100,82,1,99,i38_100_R.jpg,d,100,pp,001,2020-10-11_11h46.30.902,MentalRotationFinal,3.1.2,60
s,1,1.299999952,1,0,100,65,1,99,i30_50.jpg,s,50,pp,001,2020-10-11_11h46.30.902,MentalRotationFinal,3.1.2,60
s,1,1.041000128,1,0,100,0,1,99,i1_0.jpg,s,0,pp,001,2020-10-11_11h46.30.902,MentalRotationFinal,3.1.2,60
s,1,1.861000061,1,0,100,47,1,99,i22_50.jpg,s,50,pp,001,2020-10-11_11h46.30.902,MentalRotationFinal,3.1.2,60
s,1,3.595000029,1,0,100,61,1,99,i28_150.jpg,s,150,pp,001,2020-10-11_11h46.30.902,MentalRotationFinal,3.1.2,60
s,1,4.171000004,1,0,100,8,1,99,i4_100.jpg,s,100,pp,001,2020-10-11_11h46.30.902,MentalRotationFinal,3.1.2,60
d,1,2.237000227,1,0,100,89,1,99,i41_100_R.jpg,d,100,pp,001,2020-10-11_11h46.30.902,MentalRotationFinal,3.1.2,60
d,0,3.407000065,1,0,100,88,1,99,i40_150.jpg,s,150,pp,001,2020-10-11_11h46.30.902,MentalRotationFinal,3.1.2,60
d,1,3.223999977,1,0,100,5,1,99,i3_50_R.jpg,d,50,pp,001,2020-10-11_11h46.30.902,MentalRotationFinal,3.1.2,60
d,1,2.488999844,1,0,100,95,1,99,i44_100_R.jpg,d,100,pp,001,2020-10-11_11h46.30.902,MentalRotationFinal,3.1.2,60
d,1,3.078999996,1,0,100,67,1,99,i31_100_R.jpg,d,100,pp,001,2020-10-11_11h46.30.902,MentalRotationFinal,3.1.2,60
s,1,2.924000025,1,0,100,11,1,99,i5_100.jpg,s,100,pp,001,2020-10-11_11h46.30.902,MentalRotationFinal,3.1.2,60
s,1,1.288000107,1,0,100,53,1,99,i25_0.jpg,s,0,pp,001,2020-10-11_11h46.30.902,MentalRotationFinal,3.1.2,60
d,1,2.592000008,1,0,100,25,1,99,i12_50_R.jpg,d,50,pp,001,2020-10-11_11h46.30.902,MentalRotationFinal,3.1.2,60
d,1,2.221999884,1,0,100,3,1,99,i2_50_R.jpg,d,50,pp,001,2020-10-11_11h46.30.902,MentalRotationFinal,3.1.2,60
s,1,2.160000086,1,0,100,92,1,99,i42_150.jpg,s,150,pp,001,2020-10-11_11h46.30.902,MentalRotationFinal,3.1.2,60
s,1,2.481999874,1,0,100,41,1,99,i19_50.jpg,s,50,pp,001,2020-10-11_11h46.30.902,MentalRotationFinal,3.1.2,60
s,1,5.460000038,1,0,100,74,1,99,i34_150.jpg,s,150,pp,001,2020-10-11_11h46.30.902,MentalRotationFinal,3.1.2,60
d,1,4.046000004,1,0,100,46,1,99,i21_150_R.jpg,d,150,pp,001,2020-10-11_11h46.30.902,MentalRotationFinal,3.1.2,60
s,1,4.677000046,1,0,100,64,1,99,i29_150.jpg,s,150,pp,001,2020-10-11_11h46.30.902,MentalRotationFinal,3.1.2,60
d,1,4.279999971,1,0,100,91,1,99,i42_100_R.jpg,d,100,pp,001,2020-10-11_11h46.30.902,MentalRotationFinal,3.1.2,60
d,1,2.532000065,1,0,100,39,1,99,i18_150_R.jpg,d,150,pp,001,2020-10-11_11h46.30.902,MentalRotationFinal,3.1.2,60
s,1,4.157999992,1,0,100,97,1,99,i46_100.jpg,s,100,pp,001,2020-10-11_11h46.30.902,MentalRotationFinal,3.1.2,60
d,1,2.004999876,1,0,100,85,1,99,i39_100_R.jpg,d,100,pp,001,2020-10-11_11h46.30.902,MentalRotationFinal,3.1.2,60
s,1,3.275000095,1,0,100,20,1,99,i9_100.jpg,s,100,pp,001,2020-10-11_11h46.30.902,MentalRotationFinal,3.1.2,60
d,1,3.988999844,1,0,100,78,1,99,i36_100_R.jpg,d,100,pp,001,2020-10-11_11h46.30.902,MentalRotationFinal,3.1.2,60
d,1,6.661000013,1,0,100,7,1,99,i4_50_R.jpg,d,50,pp,001,2020-10-11_11h46.30.902,MentalRotationFinal,3.1.2,60
s,1,3.242000103,1,0,100,66,1,99,i30_150.jpg,s,150,pp,001,2020-10-11_11h46.30.902,MentalRotationFinal,3.1.2,60
d,1,6.516000032,1,0,100,21,1,99,i10_50_R.jpg,d,50,pp,001,2020-10-11_11h46.30.902,MentalRotationFinal,3.1.2,60
