trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,imagefile,corrAns,angle,participant,session,date,expName,psychopyVersion,frameRate
d,1,4.001999855,1,0,100,14,1,99,i7_50_R.jpg,d,50,21704283,001,2020-10-15_13h18.22.455,MentalRotationFinal,3.1.2,60
d,1,2.096999884,1,0,100,10,1,99,i5_50_R.jpg,d,50,21704283,001,2020-10-15_13h18.22.455,MentalRotationFinal,3.1.2,60
d,1,2.016000032,1,0,100,93,1,99,i43_100_R.jpg,d,100,21704283,001,2020-10-15_13h18.22.455,MentalRotationFinal,3.1.2,60
s,1,2.284000158,1,0,100,98,1,99,i47_100.jpg,s,100,21704283,001,2020-10-15_13h18.22.455,MentalRotationFinal,3.1.2,60
d,0,3.28399992,1,0,100,13,1,99,i6_100.jpg,s,100,21704283,001,2020-10-15_13h18.22.455,MentalRotationFinal,3.1.2,60
d,0,5.304000139,1,0,100,66,1,99,i30_150.jpg,s,150,21704283,001,2020-10-15_13h18.22.455,MentalRotationFinal,3.1.2,60
s,1,2.815999985,1,0,100,17,1,99,i8_100.jpg,s,100,21704283,001,2020-10-15_13h18.22.455,MentalRotationFinal,3.1.2,60
d,1,5.468999863,1,0,100,50,1,99,i23_150_R.jpg,d,150,21704283,001,2020-10-15_13h18.22.455,MentalRotationFinal,3.1.2,60
d,1,6.47300005,1,0,100,39,1,99,i18_150_R.jpg,d,150,21704283,001,2020-10-15_13h18.22.455,MentalRotationFinal,3.1.2,60
d,0,4.370999813,1,0,100,24,1,99,i11_100.jpg,s,100,21704283,001,2020-10-15_13h18.22.455,MentalRotationFinal,3.1.2,60
d,1,2.584000111,1,0,100,16,1,99,i8_50_R.jpg,d,50,21704283,001,2020-10-15_13h18.22.455,MentalRotationFinal,3.1.2,60
d,1,3.116999865,1,0,100,33,1,99,i15_150_R.jpg,d,150,21704283,001,2020-10-15_13h18.22.455,MentalRotationFinal,3.1.2,60
s,1,1.598999977,1,0,100,40,1,99,i19_0.jpg,s,0,21704283,001,2020-10-15_13h18.22.455,MentalRotationFinal,3.1.2,60
d,1,1.935000181,1,0,100,73,1,99,i34_100_R.jpg,d,100,21704283,001,2020-10-15_13h18.22.455,MentalRotationFinal,3.1.2,60
s,1,2.801000118,1,0,100,36,1,99,i17_50.jpg,s,50,21704283,001,2020-10-15_13h18.22.455,MentalRotationFinal,3.1.2,60
d,1,3.279999971,1,0,100,28,1,99,i13_150_R.jpg,d,150,21704283,001,2020-10-15_13h18.22.455,MentalRotationFinal,3.1.2,60
d,0,2.11500001,1,0,100,77,1,99,i35_150.jpg,s,150,21704283,001,2020-10-15_13h18.22.455,MentalRotationFinal,3.1.2,60
d,1,1.75,1,0,100,71,1,99,i33_100_R.jpg,d,100,21704283,001,2020-10-15_13h18.22.455,MentalRotationFinal,3.1.2,60
