trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,imagefile,corrAns,angle,participant,session,date,expName,psychopyVersion,frameRate
s,1,7.868000031,1,0,100,79,1,99,i36_150.jpg,s,150,21501889,001,2020-10-22_02h52.09.108,MentalRotationFinal,3.1.2,60
s,1,1.825999975,1,0,100,9,1,99,i5_0.jpg,s,0,21501889,001,2020-10-22_02h52.09.108,MentalRotationFinal,3.1.2,60
s,0,3.825999975,1,0,100,25,1,99,i12_50_R.jpg,d,50,21501889,001,2020-10-22_02h52.09.108,MentalRotationFinal,3.1.2,60
d,1,5.643000126,1,0,100,3,1,99,i2_50_R.jpg,d,50,21501889,001,2020-10-22_02h52.09.108,MentalRotationFinal,3.1.2,60
s,1,6.778000116,1,0,100,2,1,99,i1_100.jpg,s,100,21501889,001,2020-10-22_02h52.09.108,MentalRotationFinal,3.1.2,60
d,1,7.106999874,1,0,100,96,1,99,i45_100_R.jpg,d,100,21501889,001,2020-10-22_02h52.09.108,MentalRotationFinal,3.1.2,60
d,1,5.493000031,1,0,100,89,1,99,i41_100_R.jpg,d,100,21501889,001,2020-10-22_02h52.09.108,MentalRotationFinal,3.1.2,60
s,0,3.677000046,1,0,100,23,1,99,i11_50_R.jpg,d,50,21501889,001,2020-10-22_02h52.09.108,MentalRotationFinal,3.1.2,60
s,1,2.059000015,1,0,100,62,1,99,i29_0.jpg,s,0,21501889,001,2020-10-22_02h52.09.108,MentalRotationFinal,3.1.2,60
s,1,3.961000204,1,0,100,17,1,99,i8_100.jpg,s,100,21501889,001,2020-10-22_02h52.09.108,MentalRotationFinal,3.1.2,60
s,1,9.477999926,1,0,100,47,1,99,i22_50.jpg,s,50,21501889,001,2020-10-22_02h52.09.108,MentalRotationFinal,3.1.2,60
s,1,2.643000126,1,0,100,49,1,99,i23_50.jpg,s,50,21501889,001,2020-10-22_02h52.09.108,MentalRotationFinal,3.1.2,60
d,1,5.045000076,1,0,100,32,1,99,i15_50_R.jpg,d,50,21501889,001,2020-10-22_02h52.09.108,MentalRotationFinal,3.1.2,60
d,1,6.178000212,1,0,100,82,1,99,i38_100_R.jpg,d,100,21501889,001,2020-10-22_02h52.09.108,MentalRotationFinal,3.1.2,60
s,1,2.342999935,1,0,100,40,1,99,i19_0.jpg,s,0,21501889,001,2020-10-22_02h52.09.108,MentalRotationFinal,3.1.2,60
d,1,4.845000029,1,0,100,95,1,99,i44_100_R.jpg,d,100,21501889,001,2020-10-22_02h52.09.108,MentalRotationFinal,3.1.2,60
d,1,4.447999954,1,0,100,28,1,99,i13_150_R.jpg,d,150,21501889,001,2020-10-22_02h52.09.108,MentalRotationFinal,3.1.2,60
s,1,2.756000042,1,0,100,63,1,99,i29_50.jpg,s,50,21501889,001,2020-10-22_02h52.09.108,MentalRotationFinal,3.1.2,60
s,1,4.495000124,1,0,100,92,1,99,i42_150.jpg,s,150,21501889,001,2020-10-22_02h52.09.108,MentalRotationFinal,3.1.2,60
s,1,5.460000038,1,0,100,13,1,99,i6_100.jpg,s,100,21501889,001,2020-10-22_02h52.09.108,MentalRotationFinal,3.1.2,60
s,1,2.825999975,1,0,100,68,1,99,i31_150.jpg,s,150,21501889,001,2020-10-22_02h52.09.108,MentalRotationFinal,3.1.2,60
s,1,5.394999981,1,0,100,54,1,99,i25_50.jpg,s,50,21501889,001,2020-10-22_02h52.09.108,MentalRotationFinal,3.1.2,60
s,1,1.026000023,1,0,100,84,1,99,i39_0.jpg,s,0,21501889,001,2020-10-22_02h52.09.108,MentalRotationFinal,3.1.2,60
s,0,2.878000021,1,0,100,55,1,99,i25_150_R.jpg,d,150,21501889,001,2020-10-22_02h52.09.108,MentalRotationFinal,3.1.2,60
d,1,2.027999878,1,0,100,1,1,99,i1_50_R.jpg,d,50,21501889,001,2020-10-22_02h52.09.108,MentalRotationFinal,3.1.2,60
s,1,2.995000124,1,0,100,36,1,99,i17_50.jpg,s,50,21501889,001,2020-10-22_02h52.09.108,MentalRotationFinal,3.1.2,60
d,1,2.958999872,1,0,100,69,1,99,i32_100_R.jpg,d,100,21501889,001,2020-10-22_02h52.09.108,MentalRotationFinal,3.1.2,60
s,1,1.629999876,1,0,100,0,1,99,i1_0.jpg,s,0,21501889,001,2020-10-22_02h52.09.108,MentalRotationFinal,3.1.2,60
