trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,imagefile,corrAns,angle,participant,session,date,expName,psychopyVersion,frameRate
d,1,6.07400012,1,0,100,37,1,99,i17_150_R.jpg,d,150,21903029,001,2020-10-13_11h50.20.318,MentalRotationFinal,3.1.2,60
s,1,8.462000132,1,0,100,13,1,99,i6_100.jpg,s,100,21903029,001,2020-10-13_11h50.20.318,MentalRotationFinal,3.1.2,60
d,1,7.865999937,1,0,100,76,1,99,i35_100_R.jpg,d,100,21903029,001,2020-10-13_11h50.20.318,MentalRotationFinal,3.1.2,60
s,1,2.861999989,1,0,100,36,1,99,i17_50.jpg,s,50,21903029,001,2020-10-13_11h50.20.318,MentalRotationFinal,3.1.2,60
d,1,13.21099997,1,0,100,48,1,99,i22_150_R.jpg,d,150,21903029,001,2020-10-13_11h50.20.318,MentalRotationFinal,3.1.2,60
s,1,3.146999836,1,0,100,75,1,99,i35_0.jpg,s,0,21903029,001,2020-10-13_11h50.20.318,MentalRotationFinal,3.1.2,60
s,1,2.898000002,1,0,100,84,1,99,i39_0.jpg,s,0,21903029,001,2020-10-13_11h50.20.318,MentalRotationFinal,3.1.2,60
d,1,18.93199992,1,0,100,12,1,99,i6_50_R.jpg,d,50,21903029,001,2020-10-13_11h50.20.318,MentalRotationFinal,3.1.2,60
d,1,28.51399994,1,0,100,31,1,99,i14_150_R.jpg,d,150,21903029,001,2020-10-13_11h50.20.318,MentalRotationFinal,3.1.2,60
d,1,31.0999999,1,0,100,57,1,99,i26_150_R.jpg,d,150,21903029,001,2020-10-13_11h50.20.318,MentalRotationFinal,3.1.2,60
d,1,14.47900009,1,0,100,50,1,99,i23_150_R.jpg,d,150,21903029,001,2020-10-13_11h50.20.318,MentalRotationFinal,3.1.2,60
s,1,5.461999893,1,0,100,81,1,99,i37_150.jpg,s,150,21903029,001,2020-10-13_11h50.20.318,MentalRotationFinal,3.1.2,60
s,1,3.81099987,1,0,100,74,1,99,i34_150.jpg,s,150,21903029,001,2020-10-13_11h50.20.318,MentalRotationFinal,3.1.2,60
s,1,2.763999939,1,0,100,38,1,99,i18_50.jpg,s,50,21903029,001,2020-10-13_11h50.20.318,MentalRotationFinal,3.1.2,60
d,1,8.148000002,1,0,100,1,1,99,i1_50_R.jpg,d,50,21903029,001,2020-10-13_11h50.20.318,MentalRotationFinal,3.1.2,60
d,1,2.48300004,1,0,100,46,1,99,i21_150_R.jpg,d,150,21903029,001,2020-10-13_11h50.20.318,MentalRotationFinal,3.1.2,60
d,1,9.899000168,1,0,100,80,1,99,i37_100_R.jpg,d,100,21903029,001,2020-10-13_11h50.20.318,MentalRotationFinal,3.1.2,60
s,1,3.631999969,1,0,100,72,1,99,i33_150.jpg,s,150,21903029,001,2020-10-13_11h50.20.318,MentalRotationFinal,3.1.2,60
d,1,5.06400013,1,0,100,28,1,99,i13_150_R.jpg,d,150,21903029,001,2020-10-13_11h50.20.318,MentalRotationFinal,3.1.2,60
s,1,2.344000101,1,0,100,58,1,99,i27_50.jpg,s,50,21903029,001,2020-10-13_11h50.20.318,MentalRotationFinal,3.1.2,60
