trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,imagefile,corrAns,angle,participant,session,date,expName,psychopyVersion,frameRate
d,0,5.953999996,1,0,100,40,1,99,i19_0.jpg,s,0,3505,001,2020-10-13_22h47.58.157,MentalRotationFinal,3.1.2,60
d,1,6.200999975,1,0,100,80,1,99,i37_100_R.jpg,d,100,3505,001,2020-10-13_22h47.58.157,MentalRotationFinal,3.1.2,60
s,1,3.950000048,1,0,100,97,1,99,i46_100.jpg,s,100,3505,001,2020-10-13_22h47.58.157,MentalRotationFinal,3.1.2,60
s,1,5.113999844,1,0,100,38,1,99,i18_50.jpg,s,50,3505,001,2020-10-13_22h47.58.157,MentalRotationFinal,3.1.2,60
s,0,11.43799996,1,0,100,95,1,99,i44_100_R.jpg,d,100,3505,001,2020-10-13_22h47.58.157,MentalRotationFinal,3.1.2,60
d,1,15.61599994,1,0,100,16,1,99,i8_50_R.jpg,d,50,3505,001,2020-10-13_22h47.58.157,MentalRotationFinal,3.1.2,60
d,1,5.367999792,1,0,100,5,1,99,i3_50_R.jpg,d,50,3505,001,2020-10-13_22h47.58.157,MentalRotationFinal,3.1.2,60
d,1,10.43499994,1,0,100,30,1,99,i14_50_R.jpg,d,50,3505,001,2020-10-13_22h47.58.157,MentalRotationFinal,3.1.2,60
d,1,5.482000113,1,0,100,37,1,99,i17_150_R.jpg,d,150,3505,001,2020-10-13_22h47.58.157,MentalRotationFinal,3.1.2,60
d,1,3.835000038,1,0,100,19,1,99,i9_50_R.jpg,d,50,3505,001,2020-10-13_22h47.58.157,MentalRotationFinal,3.1.2,60
s,1,6.753999949,1,0,100,74,1,99,i34_150.jpg,s,150,3505,001,2020-10-13_22h47.58.157,MentalRotationFinal,3.1.2,60
s,1,6.53399992,1,0,100,34,1,99,i16_50.jpg,s,50,3505,001,2020-10-13_22h47.58.157,MentalRotationFinal,3.1.2,60
s,1,7.367999792,1,0,100,58,1,99,i27_50.jpg,s,50,3505,001,2020-10-13_22h47.58.157,MentalRotationFinal,3.1.2,60
s,0,5.486999989,1,0,100,25,1,99,i12_50_R.jpg,d,50,3505,001,2020-10-13_22h47.58.157,MentalRotationFinal,3.1.2,60
d,0,3.801999807,1,0,100,4,1,99,i2_100.jpg,s,100,3505,001,2020-10-13_22h47.58.157,MentalRotationFinal,3.1.2,60
s,0,15.80100012,1,0,100,73,1,99,i34_100_R.jpg,d,100,3505,001,2020-10-13_22h47.58.157,MentalRotationFinal,3.1.2,60
s,0,5.88499999,1,0,100,1,1,99,i1_50_R.jpg,d,50,3505,001,2020-10-13_22h47.58.157,MentalRotationFinal,3.1.2,60
s,1,6.802000046,1,0,100,45,1,99,i21_50.jpg,s,50,3505,001,2020-10-13_22h47.58.157,MentalRotationFinal,3.1.2,60
s,0,3.802000046,1,0,100,28,1,99,i13_150_R.jpg,d,150,3505,001,2020-10-13_22h47.58.157,MentalRotationFinal,3.1.2,60
s,1,12.35099983,1,0,100,54,1,99,i25_50.jpg,s,50,3505,001,2020-10-13_22h47.58.157,MentalRotationFinal,3.1.2,60
s,0,7.595999956,1,0,100,57,1,99,i26_150_R.jpg,d,150,3505,001,2020-10-13_22h47.58.157,MentalRotationFinal,3.1.2,60
s,0,14.90199995,1,0,100,59,1,99,i27_150_R.jpg,d,150,3505,001,2020-10-13_22h47.58.157,MentalRotationFinal,3.1.2,60
s,0,5.968999863,1,0,100,85,1,99,i39_100_R.jpg,d,100,3505,001,2020-10-13_22h47.58.157,MentalRotationFinal,3.1.2,60
s,1,3.134000063,1,0,100,84,1,99,i39_0.jpg,s,0,3505,001,2020-10-13_22h47.58.157,MentalRotationFinal,3.1.2,60
d,1,5.803000212,1,0,100,69,1,99,i32_100_R.jpg,d,100,3505,001,2020-10-13_22h47.58.157,MentalRotationFinal,3.1.2,60
