trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,imagefile,corrAns,angle,participant,session,date,expName,psychopyVersion,frameRate
d,0,5.893000126,1,0,100,86,1,99,i39_150.jpg,s,150,2117,001,2020-10-12_13h25.58.022,MentalRotationFinal,3.1.2,60
s,0,4.415999889,1,0,100,89,1,99,i41_100_R.jpg,d,100,2117,001,2020-10-12_13h25.58.022,MentalRotationFinal,3.1.2,60
d,1,4.217999935,1,0,100,42,1,99,i19_150_R.jpg,d,150,2117,001,2020-10-12_13h25.58.022,MentalRotationFinal,3.1.2,60
d,1,5.348999977,1,0,100,32,1,99,i15_50_R.jpg,d,50,2117,001,2020-10-12_13h25.58.022,MentalRotationFinal,3.1.2,60
s,1,2.930000067,1,0,100,74,1,99,i34_150.jpg,s,150,2117,001,2020-10-12_13h25.58.022,MentalRotationFinal,3.1.2,60
s,1,3.801000118,1,0,100,99,1,99,i48_100.jpg,s,100,2117,001,2020-10-12_13h25.58.022,MentalRotationFinal,3.1.2,60
d,1,5.134000063,1,0,100,55,1,99,i25_150_R.jpg,d,150,2117,001,2020-10-12_13h25.58.022,MentalRotationFinal,3.1.2,60
d,1,0,1,0,100,44,1,99,i20_150_R.jpg,d,150,2117,001,2020-10-12_13h25.58.022,MentalRotationFinal,3.1.2,60
s,0,3.930999994,1,0,100,46,1,99,i21_150_R.jpg,d,150,2117,001,2020-10-12_13h25.58.022,MentalRotationFinal,3.1.2,60
s,1,2.146000147,1,0,100,9,1,99,i5_0.jpg,s,0,2117,001,2020-10-12_13h25.58.022,MentalRotationFinal,3.1.2,60
s,1,3.887000084,1,0,100,36,1,99,i17_50.jpg,s,50,2117,001,2020-10-12_13h25.58.022,MentalRotationFinal,3.1.2,60
d,1,1.614000082,1,0,100,1,1,99,i1_50_R.jpg,d,50,2117,001,2020-10-12_13h25.58.022,MentalRotationFinal,3.1.2,60
