trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,imagefile,corrAns,angle,participant,session,date,expName,psychopyVersion,frameRate
s,0,9.680999994,1,0,100,33,1,99,i15_150_R.jpg,d,150,2073,001,2020-10-16_17h14.55.542,MentalRotationFinal,3.1.2,60
d,1,6.048000097,1,0,100,95,1,99,i44_100_R.jpg,d,100,2073,001,2020-10-16_17h14.55.542,MentalRotationFinal,3.1.2,60
s,1,3.997999907,1,0,100,6,1,99,i3_100.jpg,s,100,2073,001,2020-10-16_17h14.55.542,MentalRotationFinal,3.1.2,60
d,1,7.249000072,1,0,100,30,1,99,i14_50_R.jpg,d,50,2073,001,2020-10-16_17h14.55.542,MentalRotationFinal,3.1.2,60
d,1,8.36500001,1,0,100,37,1,99,i17_150_R.jpg,d,150,2073,001,2020-10-16_17h14.55.542,MentalRotationFinal,3.1.2,60
d,1,15.20000005,1,0,100,44,1,99,i20_150_R.jpg,d,150,2073,001,2020-10-16_17h14.55.542,MentalRotationFinal,3.1.2,60
s,1,12.36300015,1,0,100,66,1,99,i30_150.jpg,s,150,2073,001,2020-10-16_17h14.55.542,MentalRotationFinal,3.1.2,60
s,1,9.849999905,1,0,100,74,1,99,i34_150.jpg,s,150,2073,001,2020-10-16_17h14.55.542,MentalRotationFinal,3.1.2,60
d,1,2.914999962,1,0,100,32,1,99,i15_50_R.jpg,d,50,2073,001,2020-10-16_17h14.55.542,MentalRotationFinal,3.1.2,60
d,1,7.399999857,1,0,100,1,1,99,i1_50_R.jpg,d,50,2073,001,2020-10-16_17h14.55.542,MentalRotationFinal,3.1.2,60
s,1,9.383999825,1,0,100,36,1,99,i17_50.jpg,s,50,2073,001,2020-10-16_17h14.55.542,MentalRotationFinal,3.1.2,60
s,1,5.298999786,1,0,100,75,1,99,i35_0.jpg,s,0,2073,001,2020-10-16_17h14.55.542,MentalRotationFinal,3.1.2,60
s,1,7.598999977,1,0,100,77,1,99,i35_150.jpg,s,150,2073,001,2020-10-16_17h14.55.542,MentalRotationFinal,3.1.2,60
s,1,3.03399992,1,0,100,51,1,99,i24_50.jpg,s,50,2073,001,2020-10-16_17h14.55.542,MentalRotationFinal,3.1.2,60
s,1,10.21600008,1,0,100,20,1,99,i9_100.jpg,s,100,2073,001,2020-10-16_17h14.55.542,MentalRotationFinal,3.1.2,60
s,1,4.265000105,1,0,100,22,1,99,i10_100.jpg,s,100,2073,001,2020-10-16_17h14.55.542,MentalRotationFinal,3.1.2,60
s,1,7.898000002,1,0,100,86,1,99,i39_150.jpg,s,150,2073,001,2020-10-16_17h14.55.542,MentalRotationFinal,3.1.2,60
d,1,4.782000065,1,0,100,25,1,99,i12_50_R.jpg,d,50,2073,001,2020-10-16_17h14.55.542,MentalRotationFinal,3.1.2,60
s,1,9.549999952,1,0,100,81,1,99,i37_150.jpg,s,150,2073,001,2020-10-16_17h14.55.542,MentalRotationFinal,3.1.2,60
d,0,5.950000048,1,0,100,61,1,99,i28_150.jpg,s,150,2073,001,2020-10-16_17h14.55.542,MentalRotationFinal,3.1.2,60
s,1,3.014999866,1,0,100,26,1,99,i12_100.jpg,s,100,2073,001,2020-10-16_17h14.55.542,MentalRotationFinal,3.1.2,60
d,1,11.04899979,1,0,100,12,1,99,i6_50_R.jpg,d,50,2073,001,2020-10-16_17h14.55.542,MentalRotationFinal,3.1.2,60
d,1,6.100000143,1,0,100,7,1,99,i4_50_R.jpg,d,50,2073,001,2020-10-16_17h14.55.542,MentalRotationFinal,3.1.2,60
d,1,4.381000042,1,0,100,82,1,99,i38_100_R.jpg,d,100,2073,001,2020-10-16_17h14.55.542,MentalRotationFinal,3.1.2,60
