trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,imagefile,corrAns,angle,participant,session,date,expName,psychopyVersion,frameRate
s,1,5.823999882,1,0,100,83,1,99,i38_150.jpg,s,150,1995,002,2020-10-13_23h15.01.540,MentalRotationFinal,3.1.2,60
d,1,2.592999935,1,0,100,78,1,99,i36_100_R.jpg,d,100,1995,002,2020-10-13_23h15.01.540,MentalRotationFinal,3.1.2,60
d,1,3.287999868,1,0,100,27,1,99,i13_50_R.jpg,d,50,1995,002,2020-10-13_23h15.01.540,MentalRotationFinal,3.1.2,60
s,0,3.378000021,1,0,100,28,1,99,i13_150_R.jpg,d,150,1995,002,2020-10-13_23h15.01.540,MentalRotationFinal,3.1.2,60
d,1,3.394000053,1,0,100,50,1,99,i23_150_R.jpg,d,150,1995,002,2020-10-13_23h15.01.540,MentalRotationFinal,3.1.2,60
s,1,3.046000004,1,0,100,63,1,99,i29_50.jpg,s,50,1995,002,2020-10-13_23h15.01.540,MentalRotationFinal,3.1.2,60
s,1,3.345000029,1,0,100,49,1,99,i23_50.jpg,s,50,1995,002,2020-10-13_23h15.01.540,MentalRotationFinal,3.1.2,60
d,0,3.027999878,1,0,100,70,1,99,i32_150.jpg,s,150,1995,002,2020-10-13_23h15.01.540,MentalRotationFinal,3.1.2,60
d,1,2.694000006,1,0,100,14,1,99,i7_50_R.jpg,d,50,1995,002,2020-10-13_23h15.01.540,MentalRotationFinal,3.1.2,60
s,1,3.644999981,1,0,100,34,1,99,i16_50.jpg,s,50,1995,002,2020-10-13_23h15.01.540,MentalRotationFinal,3.1.2,60
s,1,2.416999817,1,0,100,38,1,99,i18_50.jpg,s,50,1995,002,2020-10-13_23h15.01.540,MentalRotationFinal,3.1.2,60
s,1,5.162000179,1,0,100,86,1,99,i39_150.jpg,s,150,1995,002,2020-10-13_23h15.01.540,MentalRotationFinal,3.1.2,60
s,1,4.748000145,1,0,100,84,1,99,i39_0.jpg,s,0,1995,002,2020-10-13_23h15.01.540,MentalRotationFinal,3.1.2,60
s,1,2.479000092,1,0,100,20,1,99,i9_100.jpg,s,100,1995,002,2020-10-13_23h15.01.540,MentalRotationFinal,3.1.2,60
d,0,2.642999887,1,0,100,43,1,99,i20_50.jpg,s,50,1995,002,2020-10-13_23h15.01.540,MentalRotationFinal,3.1.2,60
s,1,4.947999954,1,0,100,18,1,99,i9_0.jpg,s,0,1995,002,2020-10-13_23h15.01.540,MentalRotationFinal,3.1.2,60
d,1,3.888000011,1,0,100,42,1,99,i19_150_R.jpg,d,150,1995,002,2020-10-13_23h15.01.540,MentalRotationFinal,3.1.2,60
d,0,3.753999949,1,0,100,77,1,99,i35_150.jpg,s,150,1995,002,2020-10-13_23h15.01.540,MentalRotationFinal,3.1.2,60
s,1,8.576999903,1,0,100,0,1,99,i1_0.jpg,s,0,1995,002,2020-10-13_23h15.01.540,MentalRotationFinal,3.1.2,60
d,1,2.576999903,1,0,100,91,1,99,i42_100_R.jpg,d,100,1995,002,2020-10-13_23h15.01.540,MentalRotationFinal,3.1.2,60
d,1,3.861000061,1,0,100,59,1,99,i27_150_R.jpg,d,150,1995,002,2020-10-13_23h15.01.540,MentalRotationFinal,3.1.2,60
d,0,3.895000219,1,0,100,65,1,99,i30_50.jpg,s,50,1995,002,2020-10-13_23h15.01.540,MentalRotationFinal,3.1.2,60
s,1,4.295000076,1,0,100,2,1,99,i1_100.jpg,s,100,1995,002,2020-10-13_23h15.01.540,MentalRotationFinal,3.1.2,60
d,0,2.891000032,1,0,100,90,1,99,i41_150.jpg,s,150,1995,002,2020-10-13_23h15.01.540,MentalRotationFinal,3.1.2,60
s,1,4.375,1,0,100,29,1,99,i14_0.jpg,s,0,1995,002,2020-10-13_23h15.01.540,MentalRotationFinal,3.1.2,60
d,1,3.1650002,1,0,100,21,1,99,i10_50_R.jpg,d,50,1995,002,2020-10-13_23h15.01.540,MentalRotationFinal,3.1.2,60
d,0,3.492999792,1,0,100,56,1,99,i26_50.jpg,s,50,1995,002,2020-10-13_23h15.01.540,MentalRotationFinal,3.1.2,60
d,1,2.844000101,1,0,100,52,1,99,i24_150_R.jpg,d,150,1995,002,2020-10-13_23h15.01.540,MentalRotationFinal,3.1.2,60
d,1,3.894999981,1,0,100,73,1,99,i34_100_R.jpg,d,100,1995,002,2020-10-13_23h15.01.540,MentalRotationFinal,3.1.2,60
